commit,file,insertions,deletions,author,date
4c42008d30f2f3a94669178291da5f882dd10222,src/client/pages/MyTeaching/V2/MyTeaching.js,9,2,Henri Remonen,2024-04-24 13:08:35+03:00
b6dcba3fd45eaef1b349fb772872d350f1e1279d,src/client/pages/MyTeaching/V2/MyTeaching.js,41,28,Henri Remonen,2024-04-24 12:56:13+03:00
673daf664911df5def1ae058391335e7fff0ff3e,src/client/pages/MyTeaching/V2/MyTeaching.js,38,3,Henri Remonen,2024-04-24 12:22:56+03:00
84ebcfd4327a44ef12d3d247f90ebd7b4cb62aa3,src/client/components/common/YearSemesterSelector.js,21,7,Henri Remonen,2024-04-24 12:07:14+03:00
18a1564b6eb0041edabb8089189f4c9a64a7099f,src/client/components/common/YearSemesterSelector.js,14,5,Henri Remonen,2024-04-24 11:42:55+03:00
40474b7a5a52134894c79652b7c1cb2c7165a59e,src/client/components/common/YearSemesterSelector.js,2,2,Henri Remonen,2024-04-24 11:36:49+03:00
626a58e0db5867ce36246e3fab960712e69993fc,public/locales/en/translation.json,2,1,Henri Remonen,2024-04-24 10:37:15+03:00
626a58e0db5867ce36246e3fab960712e69993fc,public/locales/fi/translation.json,2,1,Henri Remonen,2024-04-24 10:37:15+03:00
626a58e0db5867ce36246e3fab960712e69993fc,src/client/components/common/StatusTabs.js,41,33,Henri Remonen,2024-04-24 10:37:15+03:00
2bd9f970f39383e995bcaea948186466722bd898,src/client/pages/MyTeaching/V2/MyTeaching.js,3,0,Henri Remonen,2024-04-24 10:18:33+03:00
2bd9f970f39383e995bcaea948186466722bd898,src/client/pages/MyTeaching/V2/useMyTeachingTabCounts.js,22,0,Henri Remonen,2024-04-24 10:18:33+03:00
02bc81dd4b19f65e3cd1561fbe5607faf18b3d93,src/server/services/myTeaching/tabCountService.js,4,17,Henri Remonen,2024-04-24 10:10:35+03:00
1e9a580449d8fe8fcad141200f5ccb65e9b860aa,src/server/services/myTeaching/tabCountService.js,2,2,Henri Remonen,2024-04-24 09:56:25+03:00
5ac5843244306ecab6a4157f903a70daed7d0001,src/server/services/myTeaching/tabCountService.js,10,4,Henri Remonen,2024-04-24 09:45:15+03:00
15503d68fa4ad040a84e7d4883d3fff60b81ea7e,src/server/services/myTeaching/tabCountService.js,1,1,Henri Remonen,2024-04-24 09:41:21+03:00
8f4a59e9d532278ff5152841af7fa19a0368046f,src/server/routes/myTeaching/myTeachingController.js,10,0,Henri Remonen,2024-04-24 09:26:45+03:00
4f1e2e3b446090bd95a9af9f953feb4fddc049b3,src/server/services/myTeaching/tabCountService.js,103,0,Henri Remonen,2024-04-24 09:25:06+03:00
31476655913857fb109b983b821f1deb5874d2de,public/locales/sv/translation.json,1,1,Reija Laukko,2024-04-24 09:06:39+03:00
31476655913857fb109b983b821f1deb5874d2de,src/client/pages/FeedbackTarget/tabs/FeedbackView/FeedbackView.js,8,4,Reija Laukko,2024-04-24 09:06:39+03:00
31476655913857fb109b983b821f1deb5874d2de,src/client/pages/FeedbackTarget/tabs/Settings/EditFeedbackTarget/EditFeedbackTarget.js,6,2,Reija Laukko,2024-04-24 09:06:39+03:00
31476655913857fb109b983b821f1deb5874d2de,src/client/pages/GuestUser/GuestFeedbackTargetView.js,18,7,Reija Laukko,2024-04-24 09:06:39+03:00
31476655913857fb109b983b821f1deb5874d2de,src/client/pages/Organisation/useOrganisationSurveyMutation.js,11,2,Reija Laukko,2024-04-24 09:06:39+03:00
31476655913857fb109b983b821f1deb5874d2de,src/server/routes/organisations/organisationController.js,1,0,Reija Laukko,2024-04-24 09:06:39+03:00
4780119b161b63d8349341545083a87bd4640142,package.json,3,3,Reija Laukko,2024-04-22 13:45:50+03:00
4780119b161b63d8349341545083a87bd4640142,src/client/components/NavBar/NavBar.js,2,2,Reija Laukko,2024-04-22 13:45:50+03:00
4780119b161b63d8349341545083a87bd4640142,src/client/config/example-custom-ui.js,71,0,Reija Laukko,2024-04-22 13:45:50+03:00
4780119b161b63d8349341545083a87bd4640142,src/client/pages/App.tsx,1,1,Reija Laukko,2024-04-22 13:45:50+03:00
4780119b161b63d8349341545083a87bd4640142,src/client/theme.ts,7,4,Reija Laukko,2024-04-22 13:45:50+03:00
71a2472ade8282ac0c3da2d54b21edaa85209dfa,package.json,3,3,Reija Laukko,2024-04-22 10:20:16+00:00
71a2472ade8282ac0c3da2d54b21edaa85209dfa,src/client/components/NavBar/NavBar.js,2,2,Reija Laukko,2024-04-22 10:20:16+00:00
71a2472ade8282ac0c3da2d54b21edaa85209dfa,src/client/config/example-custom-ui.js,71,0,Reija Laukko,2024-04-22 10:20:16+00:00
71a2472ade8282ac0c3da2d54b21edaa85209dfa,src/client/pages/App.tsx,1,1,Reija Laukko,2024-04-22 10:20:16+00:00
71a2472ade8282ac0c3da2d54b21edaa85209dfa,src/client/theme.ts,7,4,Reija Laukko,2024-04-22 10:20:16+00:00
7579aadde7f28ac0099d682c5b0feeb8f211f416,package.json,3,3,Reija Laukko,2024-04-22 13:04:44+03:00
7579aadde7f28ac0099d682c5b0feeb8f211f416,src/client/components/NavBar/NavBar.js,2,2,Reija Laukko,2024-04-22 13:04:44+03:00
7579aadde7f28ac0099d682c5b0feeb8f211f416,src/client/config/example-custom-ui.js,71,0,Reija Laukko,2024-04-22 13:04:44+03:00
7579aadde7f28ac0099d682c5b0feeb8f211f416,src/client/pages/App.tsx,1,1,Reija Laukko,2024-04-22 13:04:44+03:00
7579aadde7f28ac0099d682c5b0feeb8f211f416,src/client/theme.ts,7,4,Reija Laukko,2024-04-22 13:04:44+03:00
9666683c1123717dd0b16bb7cd1603089c8a3d8b,.github/workflows/test.yml,1,1,Reija Laukko,2024-04-22 09:41:17+00:00
9666683c1123717dd0b16bb7cd1603089c8a3d8b,scripts/get_palaute_prod_db.sh,3,3,Reija Laukko,2024-04-22 09:41:17+00:00
9666683c1123717dd0b16bb7cd1603089c8a3d8b,scripts/get_prod_db.sh,4,4,Reija Laukko,2024-04-22 09:41:17+00:00
